source_file,vignette_id,window_id,condition,target_ifs_goal,expected_retrieval_theme,query_preview,response_preview,top_sources,parts_language,curiosity,non_pathologizing,ifs_alignment,ifs_adherence_score,grounding_score,failure_notes,reviewer
v006__v006_w1__medium_overlap.json,V006,V006_W1,medium_overlap,identify the urge-to-drink part as a protective part,"firefighters, compulsive soothing, protective numbing",Client: By the end of the day I feel so wound up that I just want a drink immediately. Coach: What do you notice inside right before that urge shows up? Client: It feels like everything is buzzing. My mind won't stop. Coach: Does it seem like a part of you reaches for the drink to change that state?,"[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 10 Reorienting Firefighters | Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Couple Therapy :: SEC03 > Relational,,,,,,,,
v006__v006_w1__small_fixed.json,V006,V006_W1,small_fixed,identify the urge-to-drink part as a protective part,"firefighters, compulsive soothing, protective numbing",Client: By the end of the day I feel so wound up that I just want a drink immediately. Coach: What do you notice inside right before that urge shows up? Client: It feels like everything is buzzing. My mind won't stop. Coach: Does it seem like a part of you reaches for the drink to change that state?,"[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC03 > Relational | Internal Family Systems Therapy for Addictions :: SEC04 > 10 Reorienting Firefighters | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment,,,,,,,,
v006__v006_w2__hierarchical.json,V006,V006_W2,hierarchical,explore the positive intent of the firefighter part,"protective intent, compassion toward addictive parts","Client: Yeah, it feels like a part that says, 'Just make this stop.' Coach: How do you feel toward that part when you notice it? Client: Mixed. I know it causes problems, but it also feels like the only thing helping sometimes. Coach: What do you imagine it is trying to help you avoid or escape from...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 02 Agenda,,,,,,,,
v006__v006_w2__medium_overlap.json,V006,V006_W2,medium_overlap,explore the positive intent of the firefighter part,"protective intent, compassion toward addictive parts","Client: Yeah, it feels like a part that says, 'Just make this stop.' Coach: How do you feel toward that part when you notice it? Client: Mixed. I know it causes problems, but it also feels like the only thing helping sometimes. Coach: What do you imagine it is trying to help you avoid or escape from...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending,,,,,,,,
v006__v006_w2__small_fixed.json,V006,V006_W2,small_fixed,explore the positive intent of the firefighter part,"protective intent, compassion toward addictive parts","Client: Yeah, it feels like a part that says, 'Just make this stop.' Coach: How do you feel toward that part when you notice it? Client: Mixed. I know it causes problems, but it also feels like the only thing helping sometimes. Coach: What do you imagine it is trying to help you avoid or escape from...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication | Internal Family Systems Couple Therapy :: SEC03 > Relational,,,,,,,,
v006__v006_w3__hierarchical.json,V006,V006_W3,hierarchical,identify multiple parts and distinguish firefighter from critic,"polarization, critics, burdens beneath compulsive behavior","Client: Pressure. Loneliness. The feeling that I can't keep doing this. Coach: That sounds like an important burden underneath the urge. Client: Yeah, and then another part judges me for drinking at all. Coach: So there may be multiple parts here—one trying to numb and one criticizing afterward.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 10 Reorienting Firefighters | Internal Family Systems Therapy for Addictions :: SEC04 > 11 Firefighters Run System | Internal Family Systems Therapy for Addictions :: SEC04 > 10 Reorienting Firefighters,,,,,,,,
v006__v006_w3__medium_overlap.json,V006,V006_W3,medium_overlap,identify multiple parts and distinguish firefighter from critic,"polarization, critics, burdens beneath compulsive behavior","Client: Pressure. Loneliness. The feeling that I can't keep doing this. Coach: That sounds like an important burden underneath the urge. Client: Yeah, and then another part judges me for drinking at all. Coach: So there may be multiple parts here—one trying to numb and one criticizing afterward.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic | Internal Family Systems Therapy for Addictions :: SEC04 > 10 Reorienting Firefighters | Internal Family Systems Therapy for Addictions :: SEC04 > 11 Firefighters Run System,,,,,,,,
v006__v006_w3__small_fixed.json,V006,V006_W3,small_fixed,identify multiple parts and distinguish firefighter from critic,"polarization, critics, burdens beneath compulsive behavior","Client: Pressure. Loneliness. The feeling that I can't keep doing this. Coach: That sounds like an important burden underneath the urge. Client: Yeah, and then another part judges me for drinking at all. Coach: So there may be multiple parts here—one trying to numb and one criticizing afterward.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 10 Reorienting Firefighters | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic | Internal Family Systems Therapy: New Dimensions :: CH07 > Pharma,,,,,,,,
v007__v007_w1__hierarchical.json,V007,V007_W1,hierarchical,identify defensiveness as a protector,"relational protectors, defensive managers, couple conflict","Client: When my partner brings up a concern, I get defensive almost immediately. Coach: What happens inside in that first moment? Client: It feels like a wall comes up, and I want to argue or shut down. Coach: That sounds like a protector reacting very quickly.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT02 > Heart Of Matter | Transcending Trauma :: SEC02 > Protective Parts | Internal Family Systems Couple Therapy :: SEC02 > PT02 > Heart Of Matter,,,,,,,,
v007__v007_w1__medium_overlap.json,V007,V007_W1,medium_overlap,identify defensiveness as a protector,"relational protectors, defensive managers, couple conflict","Client: When my partner brings up a concern, I get defensive almost immediately. Coach: What happens inside in that first moment? Client: It feels like a wall comes up, and I want to argue or shut down. Coach: That sounds like a protector reacting very quickly.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy: New Dimensions :: CH04 > Couples | Internal Family Systems Couple Therapy :: SEC03 > Relational | Internal Family Systems Couple Therapy :: SEC02 > PT02 > Heart Of Matter,,,,,,,,
v007__v007_w1__small_fixed.json,V007,V007_W1,small_fixed,identify defensiveness as a protector,"relational protectors, defensive managers, couple conflict","Client: When my partner brings up a concern, I get defensive almost immediately. Coach: What happens inside in that first moment? Client: It feels like a wall comes up, and I want to argue or shut down. Coach: That sounds like a protector reacting very quickly.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy: New Dimensions :: CH04 > Couples | Internal Family Systems Therapy: New Dimensions :: CH04 > Couples | Internal Family Systems Therapy: New Dimensions :: CH04 > Couples,,,,,,,,
v007__v007_w2__hierarchical.json,V007,V007_W2,hierarchical,connect protector to the vulnerable part it protects,"protectors guarding shame, relational vulnerability","Client: Yeah, because it feels like I'm being accused of something. Coach: What do you think that defensive part is trying to protect? Client: Maybe the part of me that feels like I'm failing or not enough. Coach: How do you feel toward the defensive part right now?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Couple Therapy :: SEC04 > Challenges,,,,,,,,
v007__v007_w2__medium_overlap.json,V007,V007_W2,medium_overlap,connect protector to the vulnerable part it protects,"protectors guarding shame, relational vulnerability","Client: Yeah, because it feels like I'm being accused of something. Coach: What do you think that defensive part is trying to protect? Client: Maybe the part of me that feels like I'm failing or not enough. Coach: How do you feel toward the defensive part right now?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT02 > Heart Of Matter | Internal Family Systems Couple Therapy :: SEC02 > PT02 > Heart Of Matter | Internal Family Systems Therapy: New Dimensions :: CH04 > Couples,,,,,,,,
v007__v007_w2__small_fixed.json,V007,V007_W2,small_fixed,connect protector to the vulnerable part it protects,"protectors guarding shame, relational vulnerability","Client: Yeah, because it feels like I'm being accused of something. Coach: What do you think that defensive part is trying to protect? Client: Maybe the part of me that feels like I'm failing or not enough. Coach: How do you feel toward the defensive part right now?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT02 > Heart Of Matter | Internal Family Systems Couple Therapy :: SEC03 > Relational | Internal Family Systems Couple Therapy :: SEC03 > Relational,,,,,,,,
v007__v007_w3__hierarchical.json,V007,V007_W3,hierarchical,identify relational polarization between protection and longing,"couple dynamics, polarization, access to vulnerable parts","Client: A little frustrated, but also I get why it shows up. Coach: That shift matters. Curiosity can help you understand it better. Client: I also have a part that really wants connection, but it disappears in those moments. Coach: So there may be both a defensive protector and a part that longs fo...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening,,,,,,,,
v007__v007_w3__medium_overlap.json,V007,V007_W3,medium_overlap,identify relational polarization between protection and longing,"couple dynamics, polarization, access to vulnerable parts","Client: A little frustrated, but also I get why it shows up. Coach: That shift matters. Curiosity can help you understand it better. Client: I also have a part that really wants connection, but it disappears in those moments. Coach: So there may be both a defensive protector and a part that longs fo...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication | Internal Family Systems Couple Therapy :: SEC02 > PT02 > Heart Of Matter | Internal Family Systems Therapy :: PT01 > 01 Origins,,,,,,,,
v007__v007_w3__small_fixed.json,V007,V007_W3,small_fixed,identify relational polarization between protection and longing,"couple dynamics, polarization, access to vulnerable parts","Client: A little frustrated, but also I get why it shows up. Coach: That shift matters. Curiosity can help you understand it better. Client: I also have a part that really wants connection, but it disappears in those moments. Coach: So there may be both a defensive protector and a part that longs fo...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 12 Exile | Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Couple Therapy :: SEC02 > PT02 > Heart Of Matter,,,,,,,,
v008__v008_w1__hierarchical.json,V008,V008_W1,hierarchical,identify hypervigilance as a protector,"trauma-informed protectors, vigilance, safety-based activation","Client: When I'm in a crowded store, my whole body gets tense and I start scanning everyone. Coach: What feels most urgent inside in those moments? Client: It feels like I have to watch everything or something bad will happen. Coach: That sounds like a part working very hard to keep you safe.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening | Internal Family Systems Therapy for Addictions :: SEC04 > 06 Calming,,,,,,,,
v008__v008_w1__medium_overlap.json,V008,V008_W1,medium_overlap,identify hypervigilance as a protector,"trauma-informed protectors, vigilance, safety-based activation","Client: When I'm in a crowded store, my whole body gets tense and I start scanning everyone. Coach: What feels most urgent inside in those moments? Client: It feels like I have to watch everything or something bad will happen. Coach: That sounds like a part working very hard to keep you safe.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication | Internal Family Systems Therapy for Addictions :: SEC04 > 13 Witnessing,,,,,,,,
v008__v008_w1__small_fixed.json,V008,V008_W1,small_fixed,identify hypervigilance as a protector,"trauma-informed protectors, vigilance, safety-based activation","Client: When I'm in a crowded store, my whole body gets tense and I start scanning everyone. Coach: What feels most urgent inside in those moments? Client: It feels like I have to watch everything or something bad will happen. Coach: That sounds like a part working very hard to keep you safe.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC03 > Relational | Internal Family Systems Therapy :: PT01 > 01 Origins | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication,,,,,,,,
v008__v008_w2__hierarchical.json,V008,V008_W2,hierarchical,validate the positive intent of the vigilant part,"protectors in trauma, fear of danger, survival roles","Client: I hate that it happens, but yes, it does feel protective. Coach: If you stayed curious, what might that part be afraid would happen if it stopped scanning? Client: That I'd miss danger and get hurt. Coach: So it may believe its vigilance is necessary for survival.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication | Internal Family Systems Therapy for Addictions :: SEC04 > 06 Calming,,,,,,,,
v008__v008_w2__medium_overlap.json,V008,V008_W2,medium_overlap,validate the positive intent of the vigilant part,"protectors in trauma, fear of danger, survival roles","Client: I hate that it happens, but yes, it does feel protective. Coach: If you stayed curious, what might that part be afraid would happen if it stopped scanning? Client: That I'd miss danger and get hurt. Coach: So it may believe its vigilance is necessary for survival.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Transcending Trauma :: SEC02 > Protective Parts | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Therapy: New Dimensions :: CH02 > Shame,,,,,,,,
v008__v008_w2__small_fixed.json,V008,V008_W2,small_fixed,validate the positive intent of the vigilant part,"protectors in trauma, fear of danger, survival roles","Client: I hate that it happens, but yes, it does feel protective. Coach: If you stayed curious, what might that part be afraid would happen if it stopped scanning? Client: That I'd miss danger and get hurt. Coach: So it may believe its vigilance is necessary for survival.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Transcending Trauma :: SEC02 > Protective Parts | Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Couple Therapy :: SEC03 > Relational,,,,,,,,
v008__v008_w3__hierarchical.json,V008,V008_W3,hierarchical,identify multiple protectors and the exile beneath them,"layered protectors, escape responses, exiles in trauma","Client: Yeah, and another part of me gets embarrassed and wants to get out fast. Coach: That suggests there may be more than one protector involved here. Client: One scanning, one wanting to escape, and maybe something underneath both that is terrified. Coach: That's an important map to begin notici...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 06 Calming | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity,,,,,,,,
v008__v008_w3__medium_overlap.json,V008,V008_W3,medium_overlap,identify multiple protectors and the exile beneath them,"layered protectors, escape responses, exiles in trauma","Client: Yeah, and another part of me gets embarrassed and wants to get out fast. Coach: That suggests there may be more than one protector involved here. Client: One scanning, one wanting to escape, and maybe something underneath both that is terrified. Coach: That's an important map to begin notici...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication,,,,,,,,
v008__v008_w3__small_fixed.json,V008,V008_W3,small_fixed,identify multiple protectors and the exile beneath them,"layered protectors, escape responses, exiles in trauma","Client: Yeah, and another part of me gets embarrassed and wants to get out fast. Coach: That suggests there may be more than one protector involved here. Client: One scanning, one wanting to escape, and maybe something underneath both that is terrified. Coach: That's an important map to begin notici...","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment | Internal Family Systems Couple Therapy :: SEC03 > Relational | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Communication,,,,,,,,
v009__v009_w1__hierarchical.json,V009,V009_W1,hierarchical,identify the caregiving manager part,"over-responsible managers, guilt, caretaking parts","Client: I'm the one everyone leans on, and I don't know how to stop. Coach: What happens inside when you imagine stepping back even a little? Client: Guilt immediately. Like I'm abandoning people. Coach: That sounds like a part with a very strong sense of responsibility.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 09 Befriending Managers | Internal Family Systems Therapy for Addictions :: SEC04 > 03 Addiction Polarity | Internal Family Systems Therapy for Addictions :: SEC04 > 09 Befriending Managers,,,,,,,,
v009__v009_w1__medium_overlap.json,V009,V009_W1,medium_overlap,identify the caregiving manager part,"over-responsible managers, guilt, caretaking parts","Client: I'm the one everyone leans on, and I don't know how to stop. Coach: What happens inside when you imagine stepping back even a little? Client: Guilt immediately. Like I'm abandoning people. Coach: That sounds like a part with a very strong sense of responsibility.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy: New Dimensions :: CH02 > Shame | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic | Internal Family Systems Couple Therapy :: SEC02 > PT03 > Intrapsychic,,,,,,,,
v009__v009_w1__small_fixed.json,V009,V009_W1,small_fixed,identify the caregiving manager part,"over-responsible managers, guilt, caretaking parts","Client: I'm the one everyone leans on, and I don't know how to stop. Coach: What happens inside when you imagine stepping back even a little? Client: Guilt immediately. Like I'm abandoning people. Coach: That sounds like a part with a very strong sense of responsibility.","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Therapy: New Dimensions :: CH02 > Shame | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment,,,,,,,,
v009__v009_w2__hierarchical.json,V009,V009_W2,hierarchical,explore the beliefs and burden of the caretaker part,"managers, role beliefs, compassion toward protective parts","Client: Yes, and it never really rests. Coach: What do you think that part believes about your role? Client: That if I'm not holding everything together, everything will fall apart. Coach: And how do you feel toward that part as you notice how hard it works?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 09 Befriending Managers | Internal Family Systems Therapy for Addictions :: SEC04 > 09 Befriending Managers | Internal Family Systems Therapy for Addictions :: SEC04 > 04 Intervening,,,,,,,,
v009__v009_w2__medium_overlap.json,V009,V009_W2,medium_overlap,explore the beliefs and burden of the caretaker part,"managers, role beliefs, compassion toward protective parts","Client: Yes, and it never really rests. Coach: What do you think that part believes about your role? Client: That if I'm not holding everything together, everything will fall apart. Coach: And how do you feel toward that part as you notice how hard it works?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Couple Therapy :: SEC02 > PT01 > P1 Learning | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending | Internal Family Systems Couple Therapy :: SEC02 > PT03 > P3 Ending,,,,,,,,
v009__v009_w2__small_fixed.json,V009,V009_W2,small_fixed,explore the beliefs and burden of the caretaker part,"managers, role beliefs, compassion toward protective parts","Client: Yes, and it never really rests. Coach: What do you think that part believes about your role? Client: That if I'm not holding everything together, everything will fall apart. Coach: And how do you feel toward that part as you notice how hard it works?","[MOCK OUTPUT] An IFS-informed coach might approach this by assuming that the conflicting or extreme behaviors make sense from the perspective of parts that are trying to protect the person from something more vulnerable. Rather than trying to eliminate the behavior or argue with the part, the coach would stay curious about what the part fears would happen if it did not do this job, and what pain, shame, or overwhelm it may be trying to prevent. The coach would also want to help the person notice...",Internal Family Systems Therapy for Addictions :: SEC04 > 09 Befriending Managers | Transcending Trauma :: SEC06 > Assoc Features Trauma | Internal Family Systems Skills Training Manual :: SEC03 > Manual Treatment,,,,,,,,
