file,condition,query,generated_response,top_retrieval_sources,ifs_adherence_score,grounding_score,specificity_score,retrieval_relevance_score,genericity_flag,hallucination_flag,notes,reviewer
v005__v005_w2__hierarchical.json,hierarchical,"Coach: And how do you feel toward that demanding part as you notice it?
Client: Annoyed, but I also get that it's scared.
Coach: That sounds important. What might it be afraid would happen if it didn't push so hard?
Client: Maybe that I'd lose control or become worthless.
Coach: That gives us a chance to understand it rather than just fighting it.","It sounds like you are successfully acting as a ""parts detector,"" noticing the dynamic between the part that feels ""annoyed"" and the ""demanding part"" it is reacting to. Acknowledging that the demanding part is actually ""scared"" is a significant step toward unblending. In the IFS model, we understand that these demanding parts often take on high-pressure ""jobs""—like pushing you to succeed or stay in control—because they are trying to protect the system from painful beliefs of being ""worthless.""

By approaching this part with curiosity rather than fighting it, you are moving away from guessing its motives and toward a direct relationship. This demanding part likely believes its behavior is necessary to prevent a total ""functional collapse"" or to keep you from being overwhelmed by the very feelings of worthlessness it fears. It is common for these protective parts to be so focused on their roles that they aren't aware of the ""Self"" or the internal strength you have today; they often believe they are still protecting a much younger version of you.

As you continue this nonjudgmental inquiry, you might gently ask this part how old it thinks you are and what it is trying to help you achieve. When a protector feels seen and appreciated for its hard work, it often begins to relax, eventually allowing you to connect with the vulnerable parts it has been working so hard to shield.

**Grounding notes:**
* **Protective Roles:** Protective parts (managers) often use demanding or critical behaviors to proactively prevent the system from feeling ""worthless"" or losing control.
* **Nonjudgmental Curiosity:** Instead of guessing motives, the coach guides the client to ask the part ""why"" it performs its job and what it is afraid would happen if it stopped.
* **Unblending and Self-Energy:** Noticing a feeling *toward* a part (like annoyance) helps identify a second blended part, making room for the Self to lead the conversation with curiosity and compassion.
* **Updating Parts:** Protectors are often stuck in the past and may need to be ""updated"" to realize the client is an adult with more resources than when the part first took on its job.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview,5,5,5,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v005__v005_w2__medium_overlap.json,medium_overlap,"Coach: And how do you feel toward that demanding part as you notice it?
Client: Annoyed, but I also get that it's scared.
Coach: That sounds important. What might it be afraid would happen if it didn't push so hard?
Client: Maybe that I'd lose control or become worthless.
Coach: That gives us a chance to understand it rather than just fighting it.","It sounds like you are becoming aware of a complex internal dynamic. When you notice that you feel ""annoyed"" toward the demanding part, that is a helpful sign that another part of you—one that is tired of the pressure—is present and ""blended"" with you. In an IFS approach, we gently acknowledge that annoyance and see if it might be willing to give us a little space so we can get to know the demanding part from a place of curiosity.

By identifying that the demanding part is ""scared"" of you losing control or feeling ""worthless,"" you have already begun to see its ""positive intention."" This part has taken on a very difficult ""job"" to protect you from those heavy, vulnerable feelings. Recognizing that it pushes because it cares about your stability allows us to appreciate its efforts rather than just fighting against its demands.

Understanding this fear is a key step toward helping the part feel seen. When a protector’s fear—such as the fear of ""emotional overwhelm"" or ""worthlessness""—is validated and taken seriously, it may eventually feel safe enough to relax its grip. This creates an opportunity to eventually support the more vulnerable, ""exiled"" feelings it has been working so hard to shield.

Grounding notes:
*   Asking ""How do you feel toward a part?"" helps determine if the client is in ""Self"" or if other parts are ""blended"" and need to step back (Passage 2).
*   Protective parts have ""positive intentions"" and specific ""jobs"" designed to shield the client from vulnerable feelings or ""exiles"" (Passage 3).
*   The question ""What are you afraid would happen if you didn't do this job?"" is a tool to reveal the underlying vulnerability or ""exile"" being protected (Passage 3).
*   Protectors often fear ""emotional overwhelm,"" and validating this fear is essential for helping the part relax (Passage 1).",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Transcending Trauma | SEC02 > Protective Parts,5,5,5,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v005__v005_w2__small_fixed.json,small_fixed,"Coach: And how do you feel toward that demanding part as you notice it?
Client: Annoyed, but I also get that it's scared.
Coach: That sounds important. What might it be afraid would happen if it didn't push so hard?
Client: Maybe that I'd lose control or become worthless.
Coach: That gives us a chance to understand it rather than just fighting it.","It is helpful to notice that you have both an ""annoyed"" part and a ""demanding"" part present right now. This awareness suggests you are beginning to differentiate, or unblend, from these parts so that your Self can act as a compassionate observer. The demanding part seems to be a protector that is working hard to prevent a ""catastrophic consequence,"" such as the feeling of being worthless or losing control.

By staying curious about these fears, you are creating a safe space for your parts to share their concerns without them needing to take over. When a protector feels that the Self is available and that it doesn't have to carry the burden of control alone, it may eventually feel safe enough to step back. You might try gently asking this demanding part how old it thinks you are; often, these protectors are stuck in a time when losing control felt much more dangerous than it is today.

**Grounding notes:**
* Protectors often fear that if they relax or ""step back,"" a polarized part will take over or an ""exile"" will overwhelm the system (Internal Family Systems Therapy).
* Asking a part what it is afraid of or what would happen if it stopped its job helps reveal the vulnerable exile it is protecting (Internal Family Systems Skills Training Manual; Transcending Trauma).
* The primary role of the coach is to help the client's Self interact with and befriend their own parts (Internal Family Systems Therapy).",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy | PT01 > 01 Origins ; Transcending Trauma | SEC02 > Protective Parts,5,4,5,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v006__v006_w1__hierarchical.json,hierarchical,"Client: By the end of the day I feel so wound up that I just want a drink immediately.
Coach: What do you notice inside right before that urge shows up?
Client: It feels like everything is buzzing. My mind won't stop.
Coach: Does it seem like a part of you reaches for the drink to change that state?","It sounds like you are noticing a very active part of your system that steps in when the internal ""buzzing"" becomes too much. In this approach, we might think of this as a ""firefighter"" part—a reactive part of the self that is focused on the present moment and works hard to soothe or distract the system from uncomfortable states. This ""buzzing"" can feel so intense because the part has ""blended"" with you, making the urge to drink feel like your only option for relief.

Instead of seeing this urge as a problem to be suppressed, we can look at it with curiosity and acknowledge its positive intention to act as a ""relief valve"" for all that wound-up energy. We could try to help this part ""unblend"" just a little so you can observe the buzzing sensation—perhaps noticing where it lives in or around your body—without being completely taken over by it. This creates space for your ""Self"" to listen to the part’s concerns.

When we can sit with that part, we often find it is protecting you from a fear of being overwhelmed by even deeper feelings. By befriending the part that reaches for the drink and understanding what it is afraid would happen if it stopped its job, we can begin to bring a sense of calm to the ""brawl"" of thoughts and sensations you experience at the end of the day.

Grounding notes:
* Firefighter parts are reactive, present-oriented, and step in to soothe or distract the body when emotional pain or ""buzzing"" breaks into consciousness.
* Blending occurs when a part's feelings or urges engulf the client's perspective, whereas unblending allows the client to observe the part with curious ""Self-energy.""
* Protective parts, such as those driving addictive urges, often have the positive intention of shielding the system from being ""taken over"" by overwhelming internal states.
* A primary goal is to help parts unblend so the client can understand the part's original intentions and the specific fears it carries.",Internal Family Systems Therapy for Addictions | SEC04 > 05 Deescalating ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Therapy for Addictions | SEC04 > 05 Deescalating,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v006__v006_w1__small_fixed.json,small_fixed,"Client: By the end of the day I feel so wound up that I just want a drink immediately.
Coach: What do you notice inside right before that urge shows up?
Client: It feels like everything is buzzing. My mind won't stop.
Coach: Does it seem like a part of you reaches for the drink to change that state?","It sounds like there is a significant amount of tension building up by the end of your day. That ""buzzing"" and the mind that won't stop can be seen as a part of your system that has become highly activated or hyperaroused. When a part shows up as a physical sensation or an intense mental state like this, it is often trying to manage a great deal of pressure.

In an IFS framework, the urge to have a drink immediately is often the work of a ""firefighter"" part. This part’s role is to step in when the internal tension becomes too much to bear, seeking a way to change your state or provide a sense of release. Rather than seeing this urge as a problem to be suppressed, we can look at it with curiosity as a part that is trying to help you cope with that overwhelming buzzing.

As you notice these sensations, we might gently wonder what that buzzing part is experiencing throughout the day. By bringing some compassion to both the part that feels wound up and the part that reaches for the drink, we can begin to understand the protective cycle they are both caught in.

Grounding notes:
* Parts can manifest physically as sensations, such as a ""buzzing"" feeling or a racing mind.
* A ""firefighter"" part often uses substances like alcohol to reactively change an uncomfortable internal state or provide release.
* Internal tension often builds between different ""teams"" of parts, such as those trying to manage responsibilities and those seeking relief.
* Substance-using parts are typically protective in nature, often reacting to high levels of activation or underlying wounds.",Internal Family Systems Therapy for Addictions | SEC04 > 05 Deescalating ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Transcending Trauma | SEC05 > Reactions Relational Trauma,4,4,5,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v006__v006_w2__hierarchical.json,hierarchical,"Client: Yeah, it feels like a part that says, 'Just make this stop.'
Coach: How do you feel toward that part when you notice it?
Client: Mixed. I know it causes problems, but it also feels like the only thing helping sometimes.
Coach: What do you imagine it is trying to help you avoid or escape from?","It makes so much sense that you feel mixed toward this part. You are noticing a natural conflict within your system: while one part of you sees the problems this behavior causes, another part views it as a vital ""life jacket"" keeping you afloat. In an internal family system, it is very common for protective parts to feel that stopping a soothing or distracting behavior is like throwing away that life jacket while the waters are rising.

To help your system feel safer, we might invite those parts that feel ""mixed"" or critical to relax for just a moment so you can get to know this ""just make this stop"" part with more curiosity. We aren’t trying to force it to change or take away its tools; instead, we want to understand its positive intention. We can ask it what it is afraid would happen if it stopped doing this job. Often, parts like this are working hard to ensure you aren't ""taken over"" by intense feelings of desperation or abandonment that other parts might be holding.

By focusing on the part’s motives—what it has been trying to do *for* you rather than just what it has been doing *to* you—we can begin to build a relationship of trust. We can acknowledge that it has likely been doing its best to help you survive difficult times. Understanding its fears is the first step in helping the whole system find a new way to feel balanced and safe.

**Grounding notes:**
* In polarized systems, one part may view a compulsive behavior as a vital ""life jacket"" for survival while another part sees it as ""drowning.""
* Protectors often work intensely because they fear the system will be ""taken over"" by the overwhelming feelings of exiled parts.
* Effective inquiry involves asking a part about its specific ""job,"" its positive intentions, and what it fears would happen if it stopped its protective behavior.
* To access ""Self-energy"" like curiosity, it is helpful to ask reactive parts with mixed or negative feelings if they are willing to separate or step back temporarily.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC03 > Assesment,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v006__v006_w3__hierarchical.json,hierarchical,"Client: Pressure. Loneliness. The feeling that I can't keep doing this.
Coach: That sounds like an important burden underneath the urge.
Client: Yeah, and then another part judges me for drinking at all.
Coach: So there may be multiple parts here—one trying to numb and one criticizing afterward.","It sounds like there is a very active internal conflict occurring right now. We can see this as a ""polarity"" between two different protective teams. One part of you (a ""firefighter"") is trying to provide relief from the heavy burdens of pressure and loneliness by numbing out. Meanwhile, another part (a ""manager"") is stepping in afterward to judge and criticize, likely because it is worried about the long-term risks of that behavior.

In an IFS-informed approach, we understand that both of these parts—the one that wants to drink and the one that judges—have positive intentions for you. They are both trying to help your system in their own ways, even if their methods feel contradictory or painful. When these parts ""brawl"" for center stage, it can leave you feeling exhausted and like you ""can’t keep doing this.""

Instead of taking a side in this argument, we can simply ""call the game"" and acknowledge both voices with curiosity. We might invite these parts to unblend—or step back just a little bit—so we can get to know their fears. For instance, we could ask the judging part what it is afraid would happen if it didn’t criticize, or ask the numbing part what it is trying to protect you from feeling. This creates a bit of space for your Self to offer compassion to the loneliness underneath.

Grounding notes:
*   Addictive processes often involve ""polarized protector teams"" where one part seeks immediate relief (firefighter) while another part (manager) worries about risks and provides internal criticism.
*   All parts, even those that are critical or use substances, have ""positive intentions"" and are trying to keep the internal system in balance.
*   ""Unblending"" is the process of helping a person notice a part’s thoughts or urges as separate from themselves so they can lead with curiosity rather than feeling overwhelmed.
*   Loneliness and pressure are often the feelings of ""exiles""—the vulnerable, young parts of the system that protectors work overtime to soothe or hide.",Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Therapy for Addictions | SEC04 > 03 Addiction Polarity,5,4,5,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v007__v007_w1__hierarchical.json,hierarchical,"Client: When my partner brings up a concern, I get defensive almost immediately.
Coach: What happens inside in that first moment?
Client: It feels like a wall comes up, and I want to argue or shut down.
Coach: That sounds like a protector reacting very quickly.","It is very understandable that a part of you feels the need to put up a wall when your partner raises a concern. This ""wall"" part likely has a very important job in your internal system, perhaps attempting to protect you from feeling overwhelmed, criticized, or unsafe in that moment. In this approach, we hold the perspective that every part—even one that argues or shuts down—carries a positive intention for you, acting as a ""worker bee"" of the psyche to ensure your safety.

As you notice this defensive reaction, you might see if you can be curious about it rather than judging it. You could try to find where that sensation of a wall or the urge to argue lives in or around your body. When we acknowledge and validate the protector’s hard work, it can begin to feel seen and known by your ""Self."" This often allows the part to unblend—or step back slightly—so that you can listen to its concerns without being completely taken over by the urge to fight or withdraw.

Gently wondering what this part is afraid would happen if it didn't come up so quickly can be a helpful next step. Often, these protectors are worried that if they don't take charge, a more vulnerable or ""exiled"" part of you might be hurt. By befriending the protector and understanding its fears, you begin to foster an internal relationship where that part can eventually trust your core Self to handle the situation.

Grounding notes:
* All protective parts, regardless of their behavior, act with a positive intention to benefit the system.
* Finding where a part is located in or around the body helps it ""unblend"" so the core Self can be present.
* Exploring a protector’s fears—specifically what it worries would happen if it stopped doing its job—is a key step in understanding its protective role.
* Validating a part's experience and modeling a non-judgmental attitude helps build internal safety and trust.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Transcending Trauma | SEC02 > Protective Parts,5,4,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v007__v007_w2__hierarchical.json,hierarchical,"Client: Yeah, because it feels like I'm being accused of something.
Coach: What do you think that defensive part is trying to protect?
Client: Maybe the part of me that feels like I'm failing or not enough.
Coach: How do you feel toward the defensive part right now?","It sounds like you have identified a significant protective part that steps in whenever you feel accused. In an IFS-informed approach, we understand that this defensive part is not a flaw, but a ""protector"" with a positive intention. It appears to be working hard to shield a more vulnerable ""exiled"" part of you—the one that carries the painful burden of feeling like you are ""failing"" or ""not enough.""

As you notice how you feel toward this defensive part, we are essentially checking for your ""Self-energy."" If you find yourself feeling curious or compassionate toward it, you are in a space where you can begin to ""befriend"" the part and learn about its specific job. However, if you feel judgment or frustration toward the defensiveness, it’s possible another part is ""blended"" with you. We welcome all these parts, recognizing that each one has a role in your inner community and is trying to help you navigate these difficult feelings.

By staying curious, you can eventually ask this defensive part what it fears would happen if it didn’t protect you in this way. Understanding its role and its ""positive intention"" helps create the safety needed for your core Self to eventually witness and help the vulnerable part it is guarding.

**Grounding notes:**
*   All parts, including defensive ones, are viewed as having positive intentions and roles within an inner community.
*   The question ""How do you feel toward the part?"" serves as a ""Geiger Counter"" to assess whether a client is experiencing ""Self-energy"" or is ""blended"" with another part.
*   Protective parts often work to shield ""exiles,"" which are vulnerable parts that carry burdens like feelings of failure or inadequacy.
*   Befriending a part involves learning about its ""job,"" how old it thinks the client is, and what it fears would happen if it stopped its protective work.",Internal Family Systems Therapy for Addictions | SEC03 > Assesment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v007__v007_w3__hierarchical.json,hierarchical,"Client: A little frustrated, but also I get why it shows up.
Coach: That shift matters. Curiosity can help you understand it better.
Client: I also have a part that really wants connection, but it disappears in those moments.
Coach: So there may be both a defensive protector and a part that longs for closeness.","It is significant that you can notice the ""why"" behind the defensive part’s arrival. In IFS, this shift from frustration to understanding suggests a presence of Self-energy. Even in systems where parts feel extreme or contradictory, the Self can show up in subtle ways, such as that quiet longing for connection or the simple desire to feel better when you wake up in the morning.

When that defensive protector takes over and the part wanting connection ""disappears,"" it often means the system is prioritizing safety over vulnerability. This is a common internal tug-of-war where one team of parts sees certain behaviors as a life jacket, while another team might see them as a risk. These parts may not even realize that you have the internal resources and strength of an adult to handle these moments now.

You might try to gently ""unblend"" from the frustration for just a moment to offer both parts a bit of kindness. When parts are willing to step back, even for a few seconds, it allows them to see you more clearly and understand that you are there to help them both. By holding space for the one that protects and the one that longs for closeness, the internal system can begin to feel more balanced.

**Grounding notes:**
* Self-energy often manifests in subtle ways, such as a simple wish for a less-fraught life or a longing for better connection.
* When parts are in conflict or ""blending"" one after another, we can ask them to unblend long enough to receive a moment of kindness from the Self.
* Protective parts often have very different perspectives; for example, one may see a behavior as a ""life jacket"" while another sees it as a threat.
* Parts often view the client as they were in the past; updating them on the ""you of today"" can help them realize the Self is available to lead.",Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment,3,5,5,3,no,no,explicit grounding behavior,auto_eval_v2
v008__v008_w1__hierarchical.json,hierarchical,"Client: When I'm in a crowded store, my whole body gets tense and I start scanning everyone.
Coach: What feels most urgent inside in those moments?
Client: It feels like I have to watch everything or something bad will happen.
Coach: That sounds like a part working very hard to keep you safe.","It sounds like this scanning part has a very clear and important positive intention: it is working overtime to ensure your safety in a world it perceives as unpredictable. In IFS, we recognize that even parts that make us feel tense or hyper-vigilant are trying to be helpful; they often take on these exhausting ""jobs"" because they believe they are the only ones standing between us and something bad.

To help this part feel seen and perhaps allow you to feel a bit more internal space, we can try to ""flesh it out."" Where do you notice that tension in or around your body? Once you find it, I’m curious how you feel toward this scanning part right now. If you can find even a small amount of curiosity or calm—qualities of your core Self—we might gently ask the part what it is specifically afraid would happen if it took a break or stopped watching for just a moment.

This isn't about forcing the part to stop; it’s about acknowledging its valiant efforts and understanding the fears it carries. When a protector feels understood and validated by you, it may eventually feel safe enough to unblend, allowing your internal system to shift from a state of high activation toward more balance and choice.

**Grounding notes:**
* All parts, even those that cause distress or physical tension, are viewed as having positive intentions for the client’s safety.
* The ""Feel Toward"" question is a key tool used to assess how much ""Self-energy"" (such as curiosity or compassion) is available versus another reacting part.
* Exploring the ""Fear"" of a protector helps reveal the specific ""job"" the part is doing and what it is trying to prevent from happening.
* Unblending is the process of helping a part differentiate from the client’s Self so the client can lead the internal system with more clarity and calm.",Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Therapy for Addictions | SEC01 > Overview ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment,5,4,3,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v008__v008_w2__hierarchical.json,hierarchical,"Client: I hate that it happens, but yes, it does feel protective.
Coach: If you stayed curious, what might that part be afraid would happen if it stopped scanning?
Client: That I'd miss danger and get hurt.
Coach: So it may believe its vigilance is necessary for survival.","It makes so much sense that this part feels it must keep scanning to ensure your survival. In the IFS approach, we understand that every part—no matter how intense its vigilance—has a positive intention to keep you safe. This part has likely been carrying a heavy burden for a long time, believing that if it lets its guard down for even a moment, you might be overwhelmed or hurt again.

We can hold a lot of compassion for how exhausted this protector might be. When a part is this vigilant, it is often shielding a more vulnerable ""exile"" that once experienced a lack of safety. By staying curious about this fear of ""missing danger,"" you are beginning to witness the vital role this part has played in your life. For now, you might simply acknowledge its hard work and let it know you understand why it feels its job is so necessary.

You don't have to ask the part to change or stop scanning right now. Instead, you can gently offer it some appreciation for how dedicated it has been to your survival. When protective parts feel truly heard and validated in their positive intentions, they often begin to feel safe enough to eventually share more about what they are protecting.

**Grounding notes:**
* All parts have positive intentions and believe their roles are necessary to protect the individual from pain or danger.
* A protector's fear—such as the fear of being hurt if it stops scanning—often reveals an underlying ""exile"" or wound it is shielding.
* Validating a protector's job and intentions is a key step in helping that part feel seen and eventually building internal trust.
* Protectors often carry the belief that they are still in a past time of danger and that the ""Self"" is not yet available to help.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Transcending Trauma | SEC02 > Protective Parts,5,4,4,4,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v008__v008_w3__hierarchical.json,hierarchical,"Client: Yeah, and another part of me gets embarrassed and wants to get out fast.
Coach: That suggests there may be more than one protector involved here.
Client: One scanning, one wanting to escape, and maybe something underneath both that is terrified.
Coach: That's an important map to begin noticing.","It is wonderful that you are beginning to map out this internal system with such clarity. It sounds like the ""scanning"" and ""escaping"" parts are working very hard to protect you, each with their own strategy for handling the situation. By noticing them, you are taking a compassionate first step toward understanding how they try to maintain balance and safety for the whole system.

In IFS, we often find that protective parts are deeply concerned about the ""terrified"" part underneath being too much to handle. They might worry that the system will be overwhelmed by the intensity of those vulnerable feelings. We can start by simply acknowledging these protectors—the one scanning for danger and the one wanting to get out—and offering them some appreciation for how long they have been carrying the burden of keeping that terrified part tucked away.

As we move forward, we don't need to push past these protectors to get to the terror. Instead, we can stay curious about their jobs. We might eventually ask these protective parts what they are concerned would happen if they didn't scan or escape, which often helps us understand the positive intentions behind their roles.

Grounding notes:
* Protectors often work hard to prevent the system from being overwhelmed by the intense feelings of vulnerable exiles.
* Mapping the internal system helps clarify the roles of different parts and how they interact to maintain safety.
* Befriending protective parts involves understanding their ""positive intentions"" and the specific ""jobs"" they have taken on.
* It is important to ask for permission from protectors before moving toward vulnerable, terrified parts to ensure the internal system feels safe.",Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment ; Internal Family Systems Therapy for Addictions | SEC04 > 03 Addiction Polarity,5,4,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
v009__v009_w1__hierarchical.json,hierarchical,"Client: I'm the one everyone leans on, and I don't know how to stop.
Coach: What happens inside when you imagine stepping back even a little?
Client: Guilt immediately. Like I'm abandoning people.
Coach: That sounds like a part with a very strong sense of responsibility.","It sounds like there is a part of you that has taken on a very heavy role as the person everyone leans on. In an IFS approach, we would view this sense of responsibility and the ""guilt"" that follows as protective parts. These parts usually have very positive intentions; they may believe that if they don't keep you focused on others, something bad will happen or you will be ""abandoning"" people. 

Instead of trying to force these feelings to stop, we can offer them our curiosity. We might gently ask that guilty part what it is afraid would happen if it stepped back, even for a moment. Often, protective parts act because they are trying to prevent a more vulnerable or ""exiled"" part from feeling overwhelmed or alone. By acknowledging the hard work this part has done to keep everything together, it may eventually feel safe enough to unblend and allow you to lead from a place of more balance and calm.

When we model an attitude of respect toward these protectors, they often begin to feel seen and known. As this internal relationship grows, these parts can start to trust that you have the internal resources to handle things differently, which allows them to eventually relax their extreme roles.

**Grounding notes:**
* All parts, even those that create distressing feelings like guilt, are welcomed and understood to have a positive intention for the system (from *Internal Family Systems Skills Training Manual*).
* Protective parts often carry out their ""jobs"" because they fear the system will be overwhelmed or that a vulnerable ""exile"" will be harmed if they stop (from *Internal Family Systems Skills Training Manual*).
* Helping a part ""unblend"" or differentiate allows the client’s ""Self"" to provide the compassion and leadership needed for healing (from *Transcending Trauma*).",Transcending Trauma | SEC02 > Protective Parts ; Transcending Trauma | SEC02 > Protective Parts ; Internal Family Systems Skills Training Manual | SEC03 > Manual Treatment,5,5,4,3,no,no,strong IFS framing; explicit grounding behavior,auto_eval_v2
